6577,非常好的购物体验，发货速度快，包装完好。手机质量没的说，电池明显耐用，充电速度快，运行丝滑，拍照功能很好，特别是夜景拍摄，比以前的机子好多了。
6578,到手快2天了，摄影功能强大，拍照图像清晰，Oriainos5系统好用，运行顺滑。原装充电器充电快速。国产屏幕进步很大，阳光下看得清楚，暗光环境也较适应。整体眼睛容易适应。
6579,vivo手机颜值质感双在线，机身轻薄手感超棒，运行流畅不卡顿，拍照清晰色彩正，续航持久快充给力，系统好用细节拉满，日常追剧办公都适配，性价比超高，入手不亏！
6580,新手机确实非常丝滑，拍照效果很不错，打游戏也非常流畅，体验感拉满，非常满意。年货节的价格也非常合适。好评！
6581,屏幕色彩饱和度很好 拍照确实不错 尤其人像 家里有小孩儿拍照很适合 系统流畅 就是比较沉 不过现在手机都差不多这么沉 慢慢适应吧
6582,这款手机已经盯了很久了，一直觉得年前能有活动，这次赶上国补真是太高兴了，赶紧下单，手机真的是很惊艳，拍摄效果没的说，绝对NO.1
6583,用了快一周，这拍照真的给我整服了！暗光环境下拍夜景色彩特别准，长焦拍远处的楼连窗户格子都清清楚楚，日常刷视频、玩游戏也丝滑不发烫，电池还抗造，一天一充完全够用，国产机现在真的牛！
6584,收到。一直在学习如何使用。试着拍摄各种场景的照片。出片清晰，色彩漂亮，夜景优秀，可以照月亮啦！哈哈哈哈&hellip;&hellip;好评！
6585,x200u降价到4868拿下，拍照和续航都非常好，红色非常好看现在没有货了，已经清库存了，京东物流非常快，很满意！
6586,机器很有质感，做工精细，超出预期 拍照效果逆天，不愧手机影响之王 运行速度飞快，不发烫，不卡顿，纵享丝滑
6587,这个手机可能是唯一超广镜头传感器尺寸&gt;=1/1.4英寸的，也就是说唯一标准、长焦、超广镜头的传感器都是大尺寸的手机。硬件的水平是保证摄影质量的基础。 至于手机的其它功能，可能各品牌都差不多吧
6588,外形外观：非常炫酷，主要看个人，我就是挺喜欢这个大镜头，我媳妇就觉得太夸张 拍照效果：这个没的说，这么大尺寸不是白弄的 运行速度：满意 待机时间：这个可以，比我之前的x60pro+好多了
6589,使用挺流畅，系统还可以的，摄像头三个镜头都是大底，好评，考虑到镜头大小规模，估计以后应该也不会有大很多的三大底的三镜头了吧。
6590,老爸买的手机，老爸在使用手机上的诉求是嗯运行速度快，嗯，拍照好看，能够记录生活，的这款手机正好契合了18 的需求，同时手机比较轻便好拿嗯老人使用起来很好，最关键的是从旧手机到新手机的手机换机非常的方便，这也极大的帮助了老年人自己换手机，很满意的一次购物
6591,手机很棒 拍照效果一流 配上专业摄像手柄拍摄很舒适 系统也很流畅 还赠送了一年的碎屏险 觉得真的是很超值的
6592,2亿像素 就是个单反 看演唱会无敌 坐山顶也看的清清楚楚 国产旗舰机的性能太强大了 哈哈
6593,刚发布的时候就挺喜欢这款手机，橙子系统很流畅，各种优化适配都不错，之前就用过nex，比之前的进步的确很大。屏幕尤其护眼效果很好，至于强项拍照就不多说了绝对的棒！叠加国补京东优惠券后不到六千的价格划算多了。
6594,就是看中x200ultra的拍照的，虽然手机拍照画质还不能跟相机比，但是随手就能拍，这款还是原生还35mm，又可以到处走走拍了。算法虚化效果目前觉得挺赞的。
6595,这款手机质感不错，拿在手里很舒服。系统流畅，屏幕很好，显示效果非常棒。最大的亮点是拍照，夜景和远景尤其好。
6596,手机拍照特别好看，很清晰，而且很流畅，一直都是vivo的手机，这次入手这款确实不一样，很有质感，不愧是旗舰款的手机，很值得购买体验的
6597,手机非常好，买手机也要看时机。价格相差不少。这款手机比较全能，是目前拍照领域最好的手机之一。外观大气上档次。比某些好，个人意见，仅供参考。
6598,外形外观：质感很高级，非常讨喜 拍照效果：非常好，但是在压高光时会把周围拍暗 运行速度：刚买来肯定特别好 理想手机
