emotype,emoscore,comment_id,opinion
好评,2.95,6577,暂无
好评,2.94,6578,暂无
好评,2.92,6579,暂无
好评,2.91,6580,暂无
好评,2.87,6581,暂无
好评,2.95,6582,暂无
好评,2.94,6583,暂无
好评,2.92,6584,暂无
好评,2.97,6585,暂无
好评,2.95,6586,暂无
好评,2.29,6587,暂无
好评,2.91,6588,暂无
好评,2.81,6589,暂无
好评,2.93,6590,暂无
好评,2.95,6591,暂无
好评,2.78,6592,暂无
好评,2.94,6593,暂无
好评,2.89,6594,暂无
好评,2.95,6595,暂无
好评,2.94,6596,暂无
好评,2.91,6597,暂无
好评,2.76,6598,暂无
好评,2.97,6599,暂无
好评,2.87,6600,暂无
好评,2.61,6601,暂无
好评,2.91,6602,暂无
好评,2.97,6603,暂无
好评,2.94,6604,暂无
好评,2.93,6605,暂无
好评,2.94,6606,暂无
好评,2.04,6607,暂无
好评,2.82,6608,暂无
好评,2.81,6609,暂无
好评,2.18,6610,暂无
好评,2.95,6611,暂无
好评,2.81,6612,暂无
好评,2.91,6613,暂无
好评,1.18,6614,暂无
好评,2.95,6615,暂无
好评,2.94,6616,暂无
好评,2.92,6617,暂无
好评,2.55,6618,暂无
好评,2.92,6619,暂无
好评,2.93,6620,暂无
好评,2.92,6621,暂无
好评,2.94,6622,暂无
好评,2.83,6623,暂无
好评,2.97,6624,暂无
好评,2.95,6625,暂无
好评,2.91,6626,暂无
好评,2.94,6627,暂无
好评,2.93,6628,暂无
好评,2.95,6629,暂无
好评,2.87,6630,暂无
好评,2.95,6631,暂无
好评,2.85,6632,暂无
好评,2.89,6633,暂无
好评,2.8,6634,暂无
好评,2.9,6635,暂无
好评,2.35,6636,暂无
好评,2.64,6637,暂无
好评,2.93,6638,暂无
好评,2.93,6639,暂无
好评,2.8,6640,暂无
好评,2.93,6641,暂无
好评,2.95,6642,暂无
好评,2.93,6643,暂无
好评,2.99,6644,暂无
好评,2.4,6645,暂无
好评,2.95,6646,暂无
好评,2.93,6647,暂无
好评,2.89,6648,暂无
好评,2.91,6649,暂无
好评,2.41,6650,暂无
好评,2.83,6651,暂无
好评,2.91,6652,暂无
好评,2.91,6653,暂无
好评,1.88,6654,暂无
好评,2.9,6655,暂无
好评,2.83,6656,暂无
好评,2.91,6657,暂无
好评,2.92,6658,暂无
好评,2.93,6659,暂无
好评,2.94,6660,暂无
好评,2.92,6661,暂无
好评,2.92,6662,暂无
好评,2.89,6663,暂无
好评,2.94,6664,暂无
好评,2.61,6665,暂无
好评,2.95,6666,暂无
好评,2.95,6667,暂无
好评,2.94,6668,暂无
好评,2.84,6669,暂无
好评,2.73,6670,暂无
好评,2.88,6671,暂无
好评,2.94,6672,暂无
好评,2.86,6673,暂无
好评,2.94,6674,暂无
好评,2.94,6675,暂无
好评,2.92,6676,暂无
好评,2.93,6677,暂无
好评,2.95,6678,暂无
好评,2.95,6679,暂无
好评,2.94,6680,暂无
好评,2.96,6681,暂无
好评,2.95,6682,暂无
好评,2.88,6683,暂无
好评,2.96,6684,暂无
好评,2.93,6685,暂无
好评,2.93,6686,暂无
好评,2.94,6687,暂无
好评,2.96,6688,暂无
好评,2.96,6689,暂无
好评,2.92,6690,暂无
好评,2.91,6691,暂无
好评,2.81,6692,暂无
好评,1.77,6693,暂无
好评,2.96,6694,暂无
好评,2.96,6695,暂无
好评,2.83,6696,暂无
好评,2.96,6697,暂无
好评,2.95,6698,暂无
好评,2.95,6699,暂无
好评,2.38,6700,暂无
好评,2.92,6701,暂无
好评,2.93,6702,暂无
好评,2.95,6703,暂无
好评,2.93,6704,暂无
好评,2.96,6705,暂无
好评,2.86,6706,暂无
好评,2.74,6707,暂无
好评,2.92,6708,暂无
好评,2.51,6709,暂无
好评,2.93,6710,暂无
好评,2.96,6711,暂无
好评,2.1,6712,暂无
好评,2.69,6713,暂无
好评,2.8,6714,暂无
好评,2.95,6715,暂无
好评,1.74,6716,暂无
好评,2.95,6717,暂无
好评,2.93,6718,暂无
好评,2.96,6719,暂无
好评,2.81,6720,暂无
好评,2.92,6721,暂无
好评,2.94,6722,暂无
好评,2.99,6723,暂无
好评,2.92,6724,暂无
好评,2.9,6725,暂无
好评,2.85,6726,暂无
好评,2.95,6727,暂无
好评,2.94,6728,暂无
好评,2.88,6729,暂无
好评,1.78,6730,暂无
好评,2.91,6731,暂无
好评,1.99,6732,暂无
好评,2.86,6733,暂无
好评,2.93,6734,暂无
好评,2.88,6735,暂无
好评,2.95,6736,暂无
好评,2.9,6737,暂无
好评,2.88,6738,暂无
好评,2.94,6739,暂无
好评,2.86,6740,暂无
好评,2.92,6741,暂无
好评,2.92,6742,暂无
好评,2.93,6743,暂无
好评,2.96,6744,暂无
好评,2.83,6745,暂无
好评,2.94,6746,暂无
好评,2.94,6747,暂无
好评,2.95,6748,暂无
好评,2.92,6749,暂无
好评,2.91,6750,暂无
好评,2.91,6751,暂无
好评,1.84,6752,暂无
好评,2.87,6753,暂无
好评,2.96,6754,暂无
好评,2.9,6755,暂无
好评,2.92,6756,暂无
好评,2.94,6757,暂无
好评,2.92,6758,暂无
好评,2.94,6759,暂无
好评,2.92,6760,暂无
好评,2.95,6761,暂无
好评,2.93,6762,暂无
好评,2.94,6763,暂无
好评,2.97,6764,暂无
好评,2.9,6765,暂无
好评,2.95,6766,暂无
好评,2.87,6767,暂无
好评,2.98,6768,暂无
好评,2.92,6769,暂无
好评,2.89,6770,暂无
好评,2.85,6771,暂无
好评,2.92,6772,暂无
好评,2.96,6773,暂无
好评,2.8,6774,暂无
好评,2.91,6775,暂无
好评,2.84,6776,暂无
好评,2.87,6777,暂无
好评,2.88,6778,暂无
好评,2.94,6779,暂无
好评,2.86,6780,暂无
好评,2.91,6781,暂无
好评,2.97,6782,暂无
好评,2.92,6783,暂无
好评,2.85,6784,暂无
好评,2.7,6785,暂无
好评,2.94,6786,暂无
好评,2.87,6787,暂无
好评,2.92,6788,暂无
好评,1.97,6789,暂无
好评,2.94,6790,暂无
好评,2.18,6791,暂无
好评,2.92,6792,暂无
好评,2.95,6793,暂无
好评,2.91,6794,暂无
好评,2.59,6795,暂无
好评,2.92,6796,暂无
好评,2.88,6797,暂无
好评,2.96,6798,暂无
好评,2.82,6799,暂无
好评,2.96,6800,暂无
好评,2.3,6801,暂无
好评,2.9,6802,暂无
好评,2.96,6803,暂无
好评,2.95,6804,暂无
好评,2.92,6805,暂无
好评,2.92,6806,暂无
好评,2.96,6807,暂无
好评,2.96,6808,暂无
好评,2.95,6809,暂无
好评,2.95,6810,暂无
好评,2.96,6811,暂无
好评,2.89,6812,暂无
好评,2.93,6813,暂无
好评,2.93,6814,暂无
好评,2.79,6815,暂无
好评,2.87,6816,暂无
好评,2.89,6817,暂无
好评,2.62,6818,暂无
好评,2.95,6819,暂无
好评,2.68,6820,暂无
好评,2.95,6821,暂无
好评,2.93,6822,暂无
好评,2.91,6823,暂无
好评,2.92,6824,暂无
好评,2.96,6825,暂无
好评,2.9,6826,暂无
好评,2.64,6827,暂无
好评,2.61,6828,暂无
好评,2.94,6829,暂无
好评,2.86,6830,暂无
好评,2.96,6831,暂无
好评,2.91,6832,暂无
中评,-0.22,6833,暂无
好评,2.48,6834,暂无
好评,2.91,6835,暂无
好评,2.97,6836,暂无
好评,2.95,6837,暂无
好评,2.92,6838,暂无
好评,2.91,6839,暂无
好评,2.95,6840,暂无
好评,2.81,6841,暂无
好评,2.91,6842,暂无
好评,2.89,6843,暂无
好评,2.95,6844,暂无
好评,2.95,6845,暂无
好评,2.27,6846,暂无
好评,2.92,6847,暂无
好评,2.91,6848,暂无
好评,2.95,6849,暂无
好评,2.93,6850,暂无
好评,2.91,6851,暂无
好评,2.95,6852,暂无
好评,2.94,6853,暂无
好评,2.82,6854,暂无
好评,2.91,6855,暂无
好评,2.94,6856,暂无
好评,2.93,6857,暂无
好评,2.89,6858,暂无
好评,2.93,6859,暂无
好评,2.04,6860,暂无
好评,2.94,6861,暂无
好评,2.95,6862,暂无
好评,2.88,6863,暂无
好评,2.96,6864,暂无
好评,2.81,6865,暂无
好评,2.95,6866,暂无
好评,2.97,6867,暂无
好评,2.91,6868,暂无
好评,2.93,6869,暂无
好评,2.92,6870,暂无
好评,2.93,6871,暂无
好评,2.72,6872,暂无
好评,2.94,6873,暂无
好评,2.92,6874,暂无
好评,2.94,6875,暂无
好评,2.94,6876,暂无
好评,2.96,6877,暂无
好评,2.94,6878,暂无
好评,2.93,6879,暂无
好评,2.92,6880,暂无
好评,2.87,6881,暂无
好评,2.94,6882,暂无
好评,2.95,6883,暂无
好评,2.97,6884,暂无
好评,2.93,6885,暂无
好评,1.98,6886,暂无
好评,2.45,6887,暂无
好评,2.89,6888,暂无
好评,2.95,6889,暂无
好评,2.92,6890,暂无
好评,2.93,6891,暂无
好评,2.92,6892,暂无
好评,2.94,6893,暂无
好评,2.9,6894,暂无
好评,2.81,6895,暂无
好评,2.91,6896,暂无
好评,2.95,6897,暂无
好评,2.98,6898,暂无
好评,2.96,6899,暂无
好评,2.2,6900,暂无
好评,2.93,6901,暂无
好评,2.93,6902,暂无
好评,2.94,6903,暂无
好评,2.94,6904,暂无
好评,2.94,6905,暂无
好评,2.92,6906,暂无
好评,2.97,6907,暂无
好评,2.91,6908,暂无
好评,2.53,6909,暂无
好评,2.72,6910,暂无
好评,2.85,6911,暂无
好评,2.87,6912,暂无
好评,2.6,6913,暂无
好评,2.9,6914,暂无
好评,2.97,6915,暂无
好评,0.79,6916,暂无
好评,2.95,6917,暂无
好评,2.9,6918,暂无
好评,1.75,6919,暂无
好评,2.46,6920,暂无
好评,2.91,6921,暂无
好评,2.87,6922,暂无
好评,2.88,6923,暂无
好评,2.8,6924,暂无
好评,2.96,6925,暂无
好评,2.92,6926,暂无
好评,2.91,6927,暂无
好评,2.9,6928,暂无
好评,2.85,6929,暂无
好评,2.9,6930,暂无
好评,2.91,6931,暂无
好评,1.24,6932,暂无
好评,2.8,6933,暂无
好评,2.89,6934,暂无
好评,2.5,6935,暂无
好评,2.93,6936,暂无
好评,2.88,6937,暂无
好评,2.89,6938,暂无
好评,2.96,6939,暂无
好评,2.95,6940,暂无
好评,2.95,6941,暂无
好评,2.96,6942,暂无
好评,2.94,6943,暂无
好评,2.76,6944,暂无
好评,2.9,6945,暂无
好评,2.95,6946,暂无
好评,2.92,6947,暂无
好评,1.87,6948,暂无
好评,2.88,6949,暂无
好评,2.93,6950,暂无
好评,2.94,6951,暂无
好评,2.63,6952,暂无
好评,2.82,6953,暂无
好评,2.92,6954,暂无
好评,2.53,6955,暂无
好评,2.91,6956,暂无
好评,2.93,6957,暂无
好评,2.86,6958,暂无
好评,2.89,6959,暂无
好评,2.95,6960,暂无
好评,2.8,6961,暂无
好评,2.96,6962,暂无
好评,2.95,6963,暂无
好评,2.6,6964,暂无
好评,2.91,6965,暂无
好评,2.91,6966,暂无
好评,2.85,6967,暂无
好评,2.93,6968,暂无
好评,2.94,6969,暂无
好评,2.93,6970,暂无
好评,2.92,6971,暂无
好评,2.78,6972,暂无
好评,2.93,6973,暂无
好评,2.95,6974,暂无
好评,2.91,6975,暂无
好评,2.87,6976,暂无
好评,2.86,6977,暂无
好评,2.9,6978,暂无
好评,2.89,6979,暂无
好评,2.17,6980,暂无
好评,2.96,6981,暂无
好评,2.93,6982,暂无
好评,2.93,6983,暂无
好评,2.95,6984,暂无
好评,2.95,6985,暂无
好评,2.95,6986,暂无
好评,2.93,6987,暂无
好评,2.88,6988,暂无
好评,2.89,6989,暂无
好评,1.04,6990,暂无
好评,2.79,6991,暂无
好评,2.93,6992,暂无
好评,2.23,6993,暂无
好评,2.89,6994,暂无
好评,2.68,6995,暂无
好评,2.94,6996,暂无
好评,2.96,6997,暂无
好评,2.93,6998,暂无
好评,2.92,6999,暂无
好评,2.92,7000,暂无
好评,2.93,7001,暂无
好评,2.96,7002,暂无
好评,2.91,7003,暂无
好评,2.92,7004,暂无
好评,2.74,7005,暂无
好评,2.97,7006,暂无
好评,2.95,7007,暂无
好评,2.85,7008,暂无
好评,2.77,7009,暂无
好评,2.92,7010,暂无
好评,2.92,7011,暂无
好评,2.96,7012,暂无
好评,2.95,7013,暂无
好评,2.89,7014,暂无
好评,2.96,7015,暂无
好评,2.92,7016,暂无
好评,2.87,7017,暂无
好评,2.96,7018,暂无
好评,2.93,7019,暂无
好评,2.63,7020,暂无
好评,2.79,7021,暂无
好评,2.93,7022,暂无
好评,2.95,7023,暂无
好评,2.86,7024,暂无
好评,2.91,7025,暂无
好评,2.93,7026,暂无
好评,2.86,7027,暂无
好评,2.89,7028,暂无
好评,2.95,7029,暂无
好评,2.96,7030,暂无
好评,2.95,7031,暂无
好评,2.96,7032,暂无
好评,2.91,7033,暂无
好评,2.55,7034,暂无
差评,-1.75,7035,暂无
好评,2.9,7036,暂无
好评,2.93,7037,暂无
好评,2.94,7038,暂无
好评,2.8,7039,暂无
好评,2.95,7040,暂无
好评,2.95,7041,暂无
好评,2.92,7042,暂无
好评,2.97,7043,暂无
好评,2.9,7044,暂无
好评,2.57,7045,暂无
好评,2.85,7046,暂无
好评,2.95,7047,暂无
好评,2.75,7048,暂无
好评,2.87,7049,暂无
好评,2.57,7050,暂无
好评,2.84,7051,暂无
好评,2.96,7052,暂无
好评,2.93,7053,暂无
好评,2.94,7054,暂无
好评,2.91,7055,暂无
好评,2.95,7056,暂无
好评,2.9,7057,暂无
好评,2.94,7058,暂无
好评,2.62,7059,暂无
好评,2.92,7060,暂无
好评,2.29,7061,暂无
好评,2.96,7062,暂无
好评,2.95,7063,暂无
好评,2.95,7064,暂无
好评,2.88,7065,暂无
好评,2.97,7066,暂无
好评,2.92,7067,暂无
好评,2.37,7068,暂无
好评,2.96,7069,暂无
好评,2.95,7070,暂无
好评,2.92,7071,暂无
好评,2.94,7072,暂无
好评,2.88,7073,暂无
好评,2.9,7074,暂无
好评,2.93,7075,暂无
好评,1.88,7076,暂无
差评,-2.84,7407,暂无
差评,-2.57,7408,暂无
中评,-0.3,7409,暂无
差评,-3.0,7410,暂无
中评,-0.53,7411,暂无
差评,-3.0,7412,暂无
差评,-2.48,7413,暂无
差评,-1.28,7414,暂无
差评,-1.22,7415,暂无
差评,-1.98,7416,暂无
